##队长技能表											
##[SC]技能编号	[C]技能名称	[C]技能描述	[SC]影响职业	[S]影响属性类型	[S]影响属性参数	[S]影响属性参数+	[S]影响属性参数++	[S]影响属性参数+++	[S]影响属性参数++++	队长技品级	队长技类型
##index(0)											
int	string	string	string	string	string	string	string	string	string	int	int
0	初级冲锋怒吼	微量增加全体物攻伤害	12	3	200	260	320	380	440	1	1
1	中级冲锋怒吼	少量增加全体物攻伤害	12	3	300	390	480	570	660	2	1
2	高级冲锋怒吼	中量增加全体物攻伤害	12	3	400	520	640	760	880	3	1
3	大师冲锋怒吼	大量增加全体物攻伤害	12	3	500	650	800	950	1100	4	1
4	宗师冲锋怒吼	巨量增加全体物攻伤害	12	3	600	780	960	1140	1320	5	1
5	初级魔法契约	微量增加全体法攻伤害	12	4	200	260	320	380	440	1	1
6	中级魔法契约	少量增加全体法攻伤害	12	4	300	390	480	570	660	2	1
7	高级魔法契约	中量增加全体法攻伤害	12	4	400	520	640	760	880	3	1
8	大师魔法契约	大量增加全体法攻伤害	12	4	500	650	800	950	1100	4	1
9	宗师魔法契约	巨量增加全体法攻伤害	12	4	600	780	960	1140	1320	5	1
10	初级光之祷告	微量增加全体治疗效果	12	5	200	260	320	380	440	1	1
11	中级光之祷告	少量增加全体治疗效果	12	5	300	390	480	570	660	2	1
12	高级光之祷告	中量增加全体治疗效果	12	5	400	520	640	760	880	3	1
13	大师光之祷告	大量增加全体治疗效果	12	5	500	650	800	950	1100	4	1
14	宗师光之祷告	巨量增加全体治疗效果	12	5	600	780	960	1140	1320	5	1
15	初级复仇宣言	微量增加全体暴击几率	12	0	200	260	320	380	440	1	1
16	中级复仇宣言	少量增加全体暴击几率	12	0	300	390	480	570	660	2	1
17	高级复仇宣言	中量增加全体暴击几率	12	0	400	520	640	760	880	3	1
18	大师复仇宣言	大量增加全体暴击几率	12	0	500	650	800	950	1100	4	1
19	宗师复仇宣言	巨量增加全体暴击几率	12	0	600	780	960	1140	1320	5	1
20	初级瞄准技巧	微量增加全体命中几率	12	1	200	260	320	380	440	1	1
21	中级瞄准技巧	少量增加全体命中几率	12	1	300	390	480	570	660	2	1
22	高级瞄准技巧	中量增加全体命中几率	12	1	400	520	640	760	880	3	1
23	大师瞄准技巧	大量增加全体命中几率	12	1	500	650	800	950	1100	4	1
24	宗师瞄准技巧	巨量增加全体命中几率	12	1	600	780	960	1140	1320	5	1
25	初级精确指挥	微量增加全体闪避几率	12	2	160	208	256	304	352	1	1
26	中级精确指挥	少量增加全体闪避几率	12	2	240	312	384	456	528	2	1
27	高级精确指挥	中量增加全体闪避几率	12	2	320	416	512	608	704	3	1
28	大师精确指挥	大量增加全体闪避几率	12	2	400	520	640	760	880	4	1
29	宗师精确指挥	巨量增加全体闪避几率	12	2	480	624	768	912	1056	5	1
30	初级法力庇护	微量增加全体法抗	12	7	-200	-260	-320	-380	-440	1	1
31	中级法力庇护	少量增加全体法抗	12	7	-300	-390	-480	-570	-660	2	1
32	高级法力庇护	中量增加全体法抗	12	7	-400	-520	-640	-760	-880	3	1
33	大师法力庇护	大量增加全体法抗	12	7	-500	-650	-800	-950	-1100	4	1
34	宗师法力庇护	巨量增加全体法抗	12	7	-600	-780	-960	-1140	-1320	5	1
35	初级防御心得	微量增加全体物抗	12	6	-200	-260	-320	-380	-440	1	1
36	中级防御心得	少量增加全体物抗	12	6	-300	-390	-480	-570	-660	2	1
37	高级防御心得	中量增加全体物抗	12	6	-400	-520	-640	-760	-880	3	1
38	大师防御心得	大量增加全体物抗	12	6	-500	-650	-800	-950	-1100	4	1
39	宗师防御心得	巨量增加全体物抗	12	6	-600	-780	-960	-1140	-1320	5	1
40	初级生存本能	微量增加全体韧性	12	9	200	260	320	380	440	1	1
41	中级生存本能	少量增加全体韧性	12	9	300	390	480	570	660	2	1
42	高级生存本能	中量增加全体韧性	12	9	400	520	640	760	880	3	1
43	大师生存本能	大量增加全体韧性	12	9	500	650	800	950	1100	4	1
44	宗师生存本能	巨量增加全体韧性	12	9	600	780	960	1140	1320	5	1
45	初级快速恢复	微量增加全体被治疗	12	8	400	520	640	760	880	1	1
46	中级快速恢复	少量增加全体被治疗	12	8	600	780	960	1140	1320	2	1
47	高级快速恢复	中量增加全体被治疗	12	8	800	1040	1280	1520	1760	3	1
48	大师快速恢复	大量增加全体被治疗	12	8	1000	1300	1600	1900	2200	4	1
49	宗师快速恢复	巨量增加全体被治疗	12	8	1200	1560	1920	2280	2640	5	1
50		微量增加全体0	12	0	400	520	640	760	880	1	1
51		少量增加全体0	12	0	600	780	960	1140	1320	2	1
52		中量增加全体0	12	0	800	1040	1280	1520	1760	3	1
53		大量增加全体0	12	0	1000	1300	1600	1900	2200	4	1
54		巨量增加全体0	12	0	1200	1560	1920	2280	2640	5	1
55		微量增加全体0	12	0	400	520	640	760	880	1	1
56		少量增加全体0	12	0	600	780	960	1140	1320	2	1
57		中量增加全体0	12	0	800	1040	1280	1520	1760	3	1
58		大量增加全体0	12	0	1000	1300	1600	1900	2200	4	1
59		巨量增加全体0	12	0	1200	1560	1920	2280	2640	5	1
