##卡牌进化表														
##[SC]卡牌编号	[SC]套装编号	[SC]进化后编号	[SC]进化需求等级	所需类型	所需卡牌1id	所需卡牌2id	所需卡牌3id	所需卡牌4id	所需卡牌5id	进化后当前等级	进化后技能等级	队长技替换几率	花费金币	花费符石
##index(0)														
int	int	int	int	int	string	string	string	string	string	int	int	int	int	int
0	0	1	25	0	-1	-1	-1	-1	-1	25	1	0	0	0
1	1	2	30	0	-1	-1	-1	-1	-1	30	1	0	0	0
2	3	3	60	0	-1	-1	-1	-1	-1	60	1	0	0	0
3	-1	1002	60	1	2|3	-1	-1	-1	-1	60	0	0	70000	0
4	0	5	25	0	-1	-1	-1	-1	-1	25	1	0	0	0
5	1	6	30	0	-1	-1	-1	-1	-1	30	1	0	0	0
6	3	7	60	0	-1	-1	-1	-1	-1	60	1	0	0	0
7	-1	1006	60	1	6|7	-1	-1	-1	-1	60	0	0	70000	0
8	0	9	25	0	-1	-1	-1	-1	-1	25	1	0	0	0
9	1	10	30	0	-1	-1	-1	-1	-1	30	1	0	0	0
10	3	11	60	0	-1	-1	-1	-1	-1	60	1	0	0	0
11	-1	1010	60	1	10|11	-1	-1	-1	-1	60	0	0	70000	0
12	0	13	25	0	-1	-1	-1	-1	-1	25	1	0	0	0
13	1	14	30	0	-1	-1	-1	-1	-1	30	1	0	0	0
14	3	15	60	0	-1	-1	-1	-1	-1	60	1	0	0	0
15	-1	1014	60	1	14|15	-1	-1	-1	-1	60	0	0	70000	0
16	0	17	25	0	-1	-1	-1	-1	-1	25	1	0	0	0
17	1	18	30	0	-1	-1	-1	-1	-1	30	1	0	0	0
18	3	19	60	0	-1	-1	-1	-1	-1	60	1	0	0	0
19	-1	1018	60	1	18|19	-1	-1	-1	-1	60	0	0	70000	0
20	0	21	25	0	-1	-1	-1	-1	-1	25	1	0	0	0
21	1	22	30	0	-1	-1	-1	-1	-1	30	1	0	0	0
22	3	23	60	0	-1	-1	-1	-1	-1	60	1	0	0	0
23	-1	1022	60	1	22|23	-1	-1	-1	-1	60	0	0	70000	0
24	0	25	25	0	-1	-1	-1	-1	-1	25	1	0	0	0
25	1	26	30	0	-1	-1	-1	-1	-1	30	1	0	0	0
26	3	27	60	0	-1	-1	-1	-1	-1	60	1	0	0	0
27	-1	1026	60	1	26|27	-1	-1	-1	-1	60	0	0	70000	0
28	0	29	25	0	-1	-1	-1	-1	-1	25	1	0	0	0
29	1	30	30	0	-1	-1	-1	-1	-1	30	1	0	0	0
30	3	31	60	0	-1	-1	-1	-1	-1	60	1	0	0	0
31	-1	1030	60	1	30|31	-1	-1	-1	-1	60	0	0	70000	0
32	0	33	25	0	-1	-1	-1	-1	-1	25	1	0	0	0
33	1	34	30	0	-1	-1	-1	-1	-1	30	1	0	0	0
34	3	35	60	0	-1	-1	-1	-1	-1	60	1	0	0	0
35	-1	1034	60	1	34|35	-1	-1	-1	-1	60	0	0	70000	0
36	0	37	25	0	-1	-1	-1	-1	-1	25	1	0	0	0
37	1	38	30	0	-1	-1	-1	-1	-1	30	1	0	0	0
38	3	39	60	0	-1	-1	-1	-1	-1	60	1	0	0	0
39	-1	1038	60	1	38|39	-1	-1	-1	-1	60	0	0	70000	0
40	0	41	25	0	-1	-1	-1	-1	-1	25	1	0	0	0
41	1	42	30	0	-1	-1	-1	-1	-1	30	1	0	0	0
42	3	43	60	0	-1	-1	-1	-1	-1	60	1	0	0	0
43	-1	1042	60	1	42|43	-1	-1	-1	-1	60	0	0	70000	0
44	0	45	25	0	-1	-1	-1	-1	-1	25	1	0	0	0
45	1	46	30	0	-1	-1	-1	-1	-1	30	1	0	0	0
46	3	47	60	0	-1	-1	-1	-1	-1	60	1	0	0	0
47	-1	1046	60	1	46|47	-1	-1	-1	-1	60	0	0	70000	0
