##卡牌升级表				
##[SC]卡牌等级	[SC]类型1所需经验	[SC]类型2所需经验	[SC]类型3所需经验	[SC]类型4所需经验
##index(0)				
int	int	int	int	int
0	0	0	0	0
1	64	96	160	256
2	128	192	320	512
3	160	240	400	640
4	192	288	480	768
5	224	336	560	896
6	256	384	640	1024
7	416	624	1040	1664
8	448	672	1120	1792
9	480	720	1200	1920
10	512	768	1280	2048
11	544	816	1360	2176
12	576	864	1440	2304
13	736	1104	1840	2944
14	784	1176	1960	3136
15	832	1248	2080	3328
16	880	1320	2200	3520
17	928	1392	2320	3712
18	976	1464	2440	3904
19	1136	1704	2840	4544
20	1200	1800	3000	4800
21	1264	1896	3160	5056
22	1328	1992	3320	5312
23	1392	2088	3480	5568
24	1456	2184	3640	5824
25	1776	2664	4440	7104
26	2160	3240	5400	8640
27	2320	3480	5800	9280
28	2480	3720	6200	9920
29	2640	3960	6600	10560
30	2800	4200	7000	11200
31	3200	4800	8000	12800
32	3360	5040	8400	13440
33	3520	5280	8800	14080
34	3680	5520	9200	14720
35	3840	5760	9600	15360
36	4240	6360	10600	16960
37	4400	6600	11000	17600
38	4560	6840	11400	18240
39	4720	7080	11800	18880
40	4880	7320	12200	19520
41	5312	7968	13280	21248
42	5488	8232	13720	21952
43	5664	8496	14160	22656
44	5840	8760	14600	23360
45	6016	9024	15040	24064
46	6448	9672	16120	25792
47	6624	9936	16560	26496
48	6800	10200	17000	27200
49	6976	10464	17440	27904
50	7152	10728	17880	28608
51	7600	11400	19000	30400
52	7792	11688	19480	31168
53	7984	11976	19960	31936
54	8176	12264	20440	32704
55	8368	12552	20920	33472
56	8816	13224	22040	35264
57	9008	13512	22520	36032
58	9200	13800	23000	36800
59	9392	14088	23480	37568
60	9584	14376	23960	38336
61	10864	16296	27160	43456
62	11312	16968	28280	45248
63	11760	17640	29400	47040
64	12208	18312	30520	48832
65	12656	18984	31640	50624
66	14416	21624	36040	57664
67	15184	22776	37960	60736
68	15952	23928	39880	63808
69	16720	25080	41800	66880
70	17488	26232	43720	69952
71	19728	29592	49320	78912
72	20816	31224	52040	83264
73	21904	32856	54760	87616
74	22992	34488	57480	91968
75	24080	36120	60200	96320
76	26800	40200	67000	107200
77	28208	42312	70520	112832
78	29616	44424	74040	118464
79	31024	46536	77560	124096
80	32432	48648	81080	129728
81	35632	53448	89080	142528
82	37360	56040	93400	149440
83	39088	58632	97720	156352
84	40816	61224	102040	163264
85	42544	63816	106360	170176
86	46544	69816	116360	186176
87	48720	73080	121800	194880
88	50896	76344	127240	203584
89	53072	79608	132680	212288
90	55248	82872	138120	220992
91	60048	90072	150120	240192
92	62672	94008	156680	250688
93	65296	97944	163240	261184
94	67920	101880	169800	271680
95	70544	105816	176360	282176
96	76064	114096	190160	304256
97	79081	118621	197702	316324
98	82099	123148	205247	328396
99	85116	127674	212790	340464
100	88134	132201	220335	352536
101	94482	141723	236205	377928
102	97952	146928	244880	391808
103	101422	152133	253555	405688
104	104893	157339	262232	419572
105	108363	162544	270907	433452
106	115663	173494	289157	462652
107	119654	179481	299135	478616
108	123645	185467	309112	494580
109	127635	191452	319087	510540
110	131626	197439	329065	526504
111	140021	210031	350052	560084
112	144611	216916	361527	578444
113	149200	223800	373000	596800
114	153790	230685	384475	615160
115	158379	237568	395947	633516
116	168033	252049	420082	672132
117	173311	259966	433277	693244
118	178589	267883	446472	714356
119	183867	275800	459667	735468
120	189145	283717	472862	756580
121	200247	300370	500617	800988
122	206317	309475	515792	825268
123	212386	318579	530965	849544
124	218456	327684	546140	873824
125	224525	336787	561312	898100
126	237293	355939	593232	949172
127	244273	366409	610682	977092
128	251253	376879	628132	1005012
129	258233	387349	645582	1032932
130	265213	397819	663032	1060852
131	279896	419844	699740	1119584
132	287923	431884	719807	1151692
133	295950	443925	739875	1183800
134	303977	455965	759942	1215908
135	312004	468006	780010	1248016
136	328890	493335	822225	1315560
137	338120	507180	845300	1352480
138	347351	521026	868377	1389404
139	356582	534873	891455	1426328
140	365813	548719	914532	1463252
141	385232	577848	963080	1540928
142	395847	593770	989617	1583388
143	406463	609694	1016157	1625852
144	417078	625617	1042695	1668312
145	427694	641541	1069235	1710776
146	450026	675039	1125065	1800104
147	462233	693349	1155582	1848932
148	474441	711661	1186102	1897764
149	486649	729973	1216622	1946596
150	498857	748285	1247142	1995428
151	524538	786807	1311345	2098152
152	538577	807865	1346442	2154308
153	552616	828924	1381540	2210464
154	566655	849982	1416637	2266620
155	580694	871041	1451735	2322776
156	610228	915342	1525570	2440912
157	626373	939559	1565932	2505492
158	642518	963777	1606295	2570072
159	658663	987994	1646657	2634652
