##卡牌表																																						
##[SC]卡牌编号	[C]卡牌名称	[C]小卡牌图片	[C]大卡牌图片	[C]职业图标	[C]职业底框	[SC]星级	[SC]职业	[C]小卡牌边框	[C]大卡牌边框	[C]职业图标(按钮）	[C]获得来源	[SC]所需领导力	[SC]升级经验类型	[SC]等级上限	[SC]生命基数	[SC]生命系数A	[SC]生命系数B	[SC]基础攻击值	[SC]攻击系数A	[SC]攻击系数B	[SC]高级技能编号	[SC]被动技能编号	[SC]队长技能编号	[SC]合成经验基数	[SC]出售价格基数	[S]暴击值	[S]命中值	[S]闪避值	[S]物攻修正	[S]法攻修正	[S]治疗修正	[S]所受物伤修正	[S]所受法伤修正	[S]所受治疗修正	[S]仇恨修正	[S]普通技能编号	[S]暴击伤害修正	[C]强化等级
int	string	string	string	string	string	int	int	string	string	string	string	int	int	int	int	float	float	int	float	float	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	string	int	int
0	哀木涕	littlecard_0000.png	bigcard_0000.png	icon_occupation_warrior_big.png	icon_occupation_base1.png	2	1	littlecard_frame_class1.png	bigcard_frame_class1.png	icon_occupation_warrior_button.png	友情抽奖、活动	4	1	25	1056	1	52.8	110	1	5.5	11	-1	-1	150	800	200	8500	0	0	0	0	0	0	0	0	1	0	0
1	哀木涕	littlecard_0001.png	bigcard_0001.png	icon_occupation_warrior_big.png	icon_occupation_base2.png	3	1	littlecard_frame_class2.png	bigcard_frame_class2.png	icon_occupation_warrior_button.png	符石抽奖、英雄进化、活动	6	1	30	1663	1	79.2	172	1	7.7	11	0	35	200	1200	200	8500	0	0	0	0	-900	0	2000	0	1	0	0
2	哀木涕	littlecard_0002.png	bigcard_0002.png	icon_occupation_warrior_big.png	icon_occupation_base3.png	4	1	littlecard_frame_class3.png	bigcard_frame_class3.png	icon_occupation_warrior_button.png	符石抽奖、英雄进化	11	2	60	3194	1	173.8	332	1	17.6	11	1	36	400	2500	200	8500	0	0	0	0	-2000	0	3000	400	1	0	0
3	哀木涕＋	littlecard_0002.png	bigcard_0002.png	icon_occupation_warrior_big.png	icon_occupation_base_elite.png	4	1	littlecard_frame_class3_elite.png	bigcard_frame_class3_elite.png	icon_occupation_warrior_button.png	英雄进化	14	2	60	3833	1	208.56	398	1	21.12	51	1	36	400	2500	200	8500	0	0	0	0	-2000	0	3000	400	1	0	0
4	傻馒	littlecard_0004.png	bigcard_0004.png	icon_occupation_shaman_big.png	icon_occupation_base1.png	2	3	littlecard_frame_class1.png	bigcard_frame_class1.png	icon_occupation_shaman_button.png	友情抽奖、活动	4	1	25	492	1	24.2	286	1	14.3	23	-1	-1	150	800	200	8500	0	0	0	0	0	0	0	0	7	0	0
5	傻馒	littlecard_0005.png	bigcard_0005.png	icon_occupation_shaman_big.png	icon_occupation_base2.png	3	3	littlecard_frame_class2.png	bigcard_frame_class2.png	icon_occupation_shaman_button.png	符石抽奖、英雄进化、活动	6	1	30	775	1	36.3	449	1	20.9	23	30	15	200	1200	500	8800	0	0	0	0	0	0	0	0	7	0	0
6	傻馒	littlecard_0006.png	bigcard_0006.png	icon_occupation_shaman_big.png	icon_occupation_base3.png	4	3	littlecard_frame_class3.png	bigcard_frame_class3.png	icon_occupation_shaman_button.png	符石抽奖、英雄进化	11	2	60	1490	1	80.3	864	1	46.2	23	31	16	400	2500	1000	9300	0	0	0	0	0	0	0	0	7	0	0
7	傻馒＋	littlecard_0006.png	bigcard_0006.png	icon_occupation_shaman_big.png	icon_occupation_base_elite.png	4	3	littlecard_frame_class3_elite.png	bigcard_frame_class3_elite.png	icon_occupation_shaman_button.png	英雄进化	14	2	60	1788	1	96.36	1037	1	55.44	63	31	16	400	2500	1000	9300	0	0	0	0	0	0	0	0	7	0	0
8	呆贼	littlecard_0008.png	bigcard_0008.png	icon_occupation_rogue_big.png	icon_occupation_base1.png	2	5	littlecard_frame_class1.png	bigcard_frame_class1.png	icon_occupation_rogue_button.png	友情抽奖、活动	4	1	25	422	1	20.9	308	1	15.4	10	-1	-1	150	800	200	8500	0	0	0	0	0	0	0	0	1	5000	0
9	呆贼	littlecard_0009.png	bigcard_0009.png	icon_occupation_rogue_big.png	icon_occupation_base2.png	3	5	littlecard_frame_class2.png	bigcard_frame_class2.png	icon_occupation_rogue_button.png	符石抽奖、英雄进化、活动	6	1	30	664	1	30.8	485	1	23.1	10	50	25	200	1200	700	8500	0	0	0	0	0	0	0	0	1	5000	0
10	呆贼	littlecard_0010.png	bigcard_0010.png	icon_occupation_rogue_big.png	icon_occupation_base3.png	4	5	littlecard_frame_class3.png	bigcard_frame_class3.png	icon_occupation_rogue_button.png	符石抽奖、英雄进化	11	2	60	1277	1	69.3	931	1	50.6	10	51	26	400	2500	1400	8500	400	0	0	0	0	0	0	0	1	5000	0
