##装备表			
##[SC]部件编号	[C]部件名称	[C]图标	[C]边框
int	string	string	string
0	稀有保卫者的头盔	icon_equipment1_1_1.png	littlecard_frame_class2.png
1	稀有保卫者的胸甲	icon_equipment1_1_2.png	littlecard_frame_class2.png
2	稀有保卫者的手套	icon_equipment1_1_3.png	littlecard_frame_class2.png
3	稀有保卫者的护腿	icon_equipment1_1_4.png	littlecard_frame_class2.png
4	稀有保卫者的战靴	icon_equipment1_1_5.png	littlecard_frame_class2.png
5	精良征服者的头盔	icon_equipment2_1_1.png	littlecard_frame_class3.png
6	精良征服者的胸甲	icon_equipment2_1_2.png	littlecard_frame_class3.png
7	精良征服者的手套	icon_equipment2_1_3.png	littlecard_frame_class3.png
8	精良征服者的护腿	icon_equipment2_1_4.png	littlecard_frame_class3.png
9	精良征服者的战靴	icon_equipment2_1_5.png	littlecard_frame_class3.png
10	稀有武器1	icon_equipment2_4_1.png	littlecard_frame_class2.png
11	稀有武器2	icon_equipment2_4_2.png	littlecard_frame_class2.png
12	稀有武器3	icon_equipment2_4_3.png	littlecard_frame_class2.png
13	稀有武器4	icon_equipment2_4_4.png	littlecard_frame_class2.png
14	稀有武器5	icon_equipment2_4_5.png	littlecard_frame_class2.png
15	精良项链1	icon_equipment3_4_1.png	littlecard_frame_class3.png
16	精良项链2	icon_equipment3_4_2.png	littlecard_frame_class3.png
17	精良项链3	icon_equipment3_4_3.png	littlecard_frame_class3.png
18	精良项链4	icon_equipment3_4_4.png	littlecard_frame_class3.png
19	精良项链5	icon_equipment3_4_5.png	littlecard_frame_class3.png
20	史诗戒指1	icon_equipment4_4_1.png	littlecard_frame_class4.png
21	史诗戒指2	icon_equipment4_4_2.png	littlecard_frame_class4.png
22	史诗戒指3	icon_equipment4_4_3.png	littlecard_frame_class4.png
23	史诗戒指4	icon_equipment4_4_4.png	littlecard_frame_class4.png
24	史诗戒指5	icon_equipment4_4_5.png	littlecard_frame_class4.png
