##活动副本数据表					
##副本编号	活动名称	循环模式	开启时间	开放时间	战斗节点编号
##index(0)					
int	string	int	string	int	string
0	蓝巨龙之巢	1	01|00|00	0	348
1	菊爆大队的试炼	0	01|00|00	172800	353|352
2	菊爆大队的试炼	0	05|00|00	172800	353|352
3	迪奥布斯的试炼	0	03|00|00	172800	356|355
4	迪奥布斯的试炼	0	06|00|00	172800	356|355
5	小金龙	0	06|00|00	86400	360|359|358
6	小金龙限时！！	0	02|18|00	14400	363|362|361
7	小金龙限时！！	0	04|18|00	14400	363|362|361
8	南瓜农场	0	07|00|00	86400	366|365|364
9	南瓜农场限时！！	0	01|18|00	14400	369|368|367
10	南瓜农场限时！！	0	03|18|00	14400	369|368|367
11	南瓜农场限时！！	0	05|18|00	14400	369|368|367
12	小金龙限时！！	0	04|12|00	0	363|362|361
13	小金龙限时！！	0	04|18|00	0	363|362|361
14	南瓜农场限时！！	0	01|18|00	0	369|368|367
15	南瓜农场限时！！	0	03|18|00	0	369|368|367
16	南瓜农场限时！！	0	05|18|00	0	369|368|367
