##主动技能表															
##第一列“队长技能编号”必须是从0开始线性增长															
##[SC]技能编号	[SC]技能类型	[C]技能名称	[C]技能描述	[C]技能特效	等级上限	循环回合数	施放回合数	技能目标	[SC]目标范围	攻击类型	基础修正基数	升级修正系数	升级几率	效果类型	效果参数
##index(0)															
int	int	string	string	int	int	int	string	int	int	int	int	int	int	int	int
0	0	治疗术	恢复1名队友少量生命	4	1	1	-1	0	1	3	-10	0	-1	-1	0
1	0	普通攻击	对单体使用普通物理攻击	2	1	1	-1	1	1	1	0	0	-1	-1	0
2	0	射击	对单体使用普通物理攻击	14	1	1	-1	1	1	1	0	0	-1	-1	0
3	0	火球术	对单体使用普通法术攻击	0	1	1	-1	1	1	2	0	0	-1	-1	0
4	0	寒冰箭	对单体使用普通法术攻击	1	1	1	-1	1	1	2	0	0	-1	-1	0
5	0	暗影箭	对单体使用普通法术攻击	8	1	1	-1	1	1	2	0	0	-1	-1	0
6	0	暗言术灭	对单体使用普通法术攻击	18	1	1	-1	1	1	2	0	0	-1	-1	0
7	0	闪电箭	对单体使用普通法术攻击	5	1	1	-1	1	1	2	0	0	-1	-1	0
8	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
9	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
10	1	背刺	对单体使用强力物理攻击	7	6	4	2	1	1	1	48	15	10	-1	0
11	1	重击	对单体使用强力物理攻击	24	6	4	2	1	1	1	48	15	10	-1	0
12	1	十字军打击	对随机3目标使用法术攻击	22	6	4	2	1	6	2	-32	15	10	0	800
13	1	审判	对单体使用强力法术攻击	6	6	4	2	1	1	2	48	15	10	-1	0
14	1	炎爆术	对单体使用强力法术攻击	3	6	4	2	1	1	2	48	15	10	-1	0
15	1	生命虹吸	对单体使用强力法术攻击	21	6	4	2	1	1	2	48	15	10	0	1000
16	1	顺劈斩	对竖排目标使用物理攻击	20	6	4	2	1	5	1	-12	9	10	-1	0
17	1	冰锥术	对竖排目标使用法术攻击	10	6	4	2	1	5	2	-12	9	10	-1	0
18	1	旋风斩	对前排目标使用物理攻击	9	6	4	2	1	3	1	-15	9	10	-1	0
19	1	魔爆术	对前排目标使用法术攻击	17	6	4	2	1	3	2	-15	9	10	-1	0
20	1	瞄准射击	对随机2目标使用物理攻击	13	6	4	2	1	7	1	-12	9	10	-1	0
21	1	火焰新星	对后排目标使用法术攻击	3	6	4	2	1	4	2	-35	9	10	-1	0
22	1	乱射	对后排目标使用物理攻击	14	6	4	2	1	4	1	-35	9	10	-1	0
23	1	闪电链	对随机3目标使用法术攻击	5	6	4	2	1	6	2	-35	7	10	-1	0
24	1	暗影群	对随机2目标使用法术攻击	8	6	4	2	1	6	2	-18	8	10	-1	0
25	1	雷霆一击	对随机2目标使用物理攻击	19	6	4	2	1	2	1	-18	8	10	-1	0
26	1	重击群	对全体使用物理攻击	2	6	4	2	1	2	1	-52	5	10	-1	0
27	1	寒冰箭群	对全体使用法术攻击	1	6	4	2	1	2	2	-52	5	10	-1	0
28	1	炎爆术群	对全体使用法术攻击	3	6	4	2	1	2	2	-52	5	10	-1	0
29	1	暴风雪	对全体使用法术攻击	23	6	4	2	1	2	2	-52	5	10	-1	0
30	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
31	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
32	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
33	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
34	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
35	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
36	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
37	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
38	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
39	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
40	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
41	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
42	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
43	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
44	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
45	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
46	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
47	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
48	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
49	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
50	1	高级背刺	对单体使用强力物理攻击	7	6	3	1	1	1	1	77	18	17	-1	0
51	1	高级重击	对单体使用强力物理攻击	24	6	3	1	1	1	1	77	18	17	-1	0
52	1	高级十字军打击	对随机3目标使用法术攻击	22	6	3	1	1	6	2	-19	18	17	0	800
53	1	高级审判	对单体使用强力法术攻击	6	6	3	1	1	1	2	77	18	17	-1	0
54	1	高级炎爆术	对单体使用强力法术攻击	3	6	3	1	1	1	2	77	18	17	-1	0
55	1	高级生命虹吸	对单体使用强力法术攻击	21	6	3	1	1	1	2	77	18	17	0	1000
56	1	高级顺劈斩	对竖排目标使用物理攻击	20	6	3	1	1	5	1	5	10	17	-1	0
57	1	高级冰锥术	对竖排目标使用法术攻击	10	6	3	1	1	5	2	5	10	17	-1	0
58	1	高级旋风斩	对前排目标使用物理攻击	9	6	3	1	1	3	1	2	8	17	-1	0
59	1	高级魔爆术	对前排目标使用法术攻击	17	6	3	1	1	3	2	2	10	17	-1	0
60	1	高级瞄准射击	对随机2目标使用物理攻击	13	6	3	1	1	7	1	5	10	17	-1	0
61	1	高级火焰新星	对后排目标使用法术攻击	3	6	3	1	1	4	2	-22	10	17	-1	0
62	1	高级乱射	对后排目标使用物理攻击	14	6	3	1	1	4	1	-22	10	17	-1	0
63	1	高级闪电链	对随机3目标使用法术攻击	5	6	3	1	1	6	2	-22	8	17	-1	0
64	1	高级暗影群	对随机2目标使用法术攻击	8	6	3	1	1	6	2	-2	9	17	-1	0
65	1	高级雷霆一击	对随机2目标使用物理攻击	19	6	3	1	1	2	1	-2	9	17	-1	0
66	1	高级重击群	对全体使用物理攻击	2	6	3	1	1	2	1	-43	6	17	-1	0
67	1	高级寒冰箭群	对全体使用法术攻击	1	6	3	1	1	2	2	-43	6	17	-1	0
68	1	高级炎爆术群	对全体使用法术攻击	3	6	3	1	1	2	2	-43	6	17	-1	0
69	1	高级暴风雪	对全体使用法术攻击	23	6	3	1	1	2	2	-43	6	17	-1	0
70	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
71	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
72	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
73	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
74	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
75	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
76	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
77	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
78	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
79	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
80	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
81	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
82	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
83	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
84	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
85	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
86	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
87	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
88	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
89	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
90	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
91	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
92	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
93	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
94	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
95	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
96	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
97	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
98	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
99	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
100	1	圣光术	恢复1名队友中量生命	15	6	4	2	0	1	3	48	15	10	-1	0
101	1	强效治疗	恢复1名队友中量生命	4	6	4	2	0	1	3	48	15	10	-1	0
102	1	治疗链	恢复3名队友少量生命	4	6	4	2	0	6	3	-38	7	10	-1	0
103	1	回春术	恢复1名队友中量生命	4	6	4	2	0	1	3	48	15	10	-1	0
104	1	圣光普照	恢复3名队友少量生命	16	6	4	2	0	6	3	-38	7	10	-1	0
105	1	治疗祷言	恢复全体队友微量生命	11	6	4	2	0	2	3	-52	5	10	-1	0
106	1	复活术	复活队友，每场1次	15	6	4	2	0	1	3	-40	5	10	1	0
107	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
108	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
