##符石抽奖表		
##[SC]抽奖组	[SC]卡牌原型ID	[SC]概率
##index(0)		
int	int	int
1	0	5
1	1	5
1	2	5
1	3	5
1	4	5
1	5	5
1	6	5
1	7	5
1	8	5
1	9	5
1	10	5
1	11	5
1	12	5
1	13	5
1	14	5
1	15	5
1	16	5
1	17	5
1	18	5
1	19	5
1	20	5
1	21	5
1	22	5
1	23	5
1	24	5
1	25	5
1	26	5
1	27	5
1	28	5
1	29	5
1	30	5
1	31	5
1	32	5
1	33	5
1	34	5
1	35	5
1	36	5
1	37	5
1	38	5
1	39	5
1	40	5
1	41	5
1	42	5
1	43	5
1	44	5
1	45	5
1	46	5
1	47	5
1	48	5
1	49	5
1	50	5
1	51	5
1	52	5
1	53	5
1	54	5
1	55	5
1	56	5
1	57	5
1	58	5
1	59	5
1	60	5
1	61	5
1	62	5
1	63	5
1	64	5
1	65	5
1	66	5
1	67	5
1	68	5
1	69	5
1	70	5
1	71	5
1	72	5
1	73	5
1	74	5
1	75	5
1	76	5
1	77	5
1	78	5
1	79	5
1	80	5
1	81	5
1	82	5
1	83	5
1	84	5
1	85	5
1	86	5
1	87	5
1	88	5
1	89	5
1	90	5
1	91	5
1	92	5
1	93	5
1	94	5
1	95	5
1	96	5
1	97	5
1	98	5
1	99	5
2	0	10
2	1	10
2	2	10
2	3	10
2	4	10
2	5	10
2	6	10
2	7	10
2	8	10
2	9	10
