##卡牌进化表																											
##爵位id	名称	名称颜色	说明	图标	必需声望	消耗金币	消耗符石	领导力	体力上限	生命比例	攻击比例	生命值	攻击值	物修	魔修	治修	暴击	韧性	命中	回避	法抗	物抗	被治疗	暴击伤害	领取金币	领取符石	领取卡牌/碎片
##index(0)																											
int	string	string	string	string	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
0	无	ffffff	ss	-1	10	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	小小象	0000ff	ss	-1	20	1500	0	2	0	2	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	小象	0000ff	ss	-1	30	2000	0	3	0	3	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	象	0000ff	ss	-1	40	2500	0	4	0	4	2	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	中象	0000ff	ss	-1	50	3000	0	5	0	5	2	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	普通象	00ff00	ss	-1	60	3500	0	6	0	6	3	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	大象	00ff00	ss	-1	70	4000	0	7	0	7	3	7	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	大大象	00ff00	ss	-1	80	4500	10	8	0	8	4	8	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	S大象	00ff00	ss	-1	90	5000	100	9	0	9	4	9	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	SA大象	ff0000	ss	-1	100	5500	1000	10	0	10	5	10	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
