##怪物表																						
##[SC]怪物编号	[C]类型	[C]卡牌形象	[SC]生命	[S]攻击	[S]暴击值	[S]命中值	[S]闪避值	[S]物攻修正	[S]法攻修正	[S]治疗修正	[S]所受物伤修正	[S]所受法伤修正	[S]所受治疗修正	[S]普通技能编号	[S]高级技能编号	[S]获得经验	[S]获得金币	[S]掉落方案编号	[S]掉落方案编号2	[S]AI编号	[S]暴击伤害修正	[S]韧性
int	int	int	int	int	int	int	int	int	int	int	int	int	int	string	int	int	int	int	int	int	int	int
0	0	63	456	80	400	8500	-1500	0	0	0	0	-300	0	1	301	0	0	0	0	-1	0	0
1	0	64	456	80	400	8500	-1500	0	0	0	0	-300	0	1	301	0	0	1	1	-1	0	0
2	0	65	456	80	400	8500	-1500	0	0	0	-1000	0	0	1	218	0	0	2	2	-1	0	0
3	1	63	1444	128	1500	8500	0	0	0	0	0	-2500	0	1	301	0	0	3	3	-1	0	0
4	1	64	1733	102	1500	8500	0	0	0	0	0	-2500	0	1	301	180	600	4	4	-1	0	0
5	0	63	641	56	400	8500	-1500	0	0	0	0	-300	0	1	301	0	0	5	5	-1	0	0
6	0	64	641	56	400	8500	-1500	0	0	0	0	-300	0	1	301	0	0	6	6	-1	0	0
7	0	65	641	56	400	8500	-1500	0	0	0	-1000	0	0	1	218	0	0	7	7	-1	0	0
8	0	66	1522	57	400	8500	-100	0	0	0	0	-4000	0	1	300	0	0	8	8	-1	0	0
9	1	71	3205	84	1500	8500	-100	0	0	0	-1500	0	0	1	211	198	650	9	9	-1	0	0
10	0	65	570	100	400	8500	-1500	0	0	0	-1000	0	0	1	218	0	0	10	10	-1	0	0
11	0	66	570	100	400	8500	-1500	0	0	0	0	-1000	0	1	300	0	0	11	11	-1	0	0
12	0	67	570	100	400	8500	-1500	0	0	0	0	-300	0	5	215	0	0	12	12	-1	0	0
13	1	67	2166	128	1500	8500	0	0	0	0	0	-2500	0	5	215	0	0	13	13	-1	0	0
14	1	68	2166	128	1500	8500	200	0	0	0	-1000	0	0	1	210	216	700	14	14	-1	0	0
15	0	65	627	110	400	8500	-1500	0	0	0	-1000	0	0	1	218	0	0	15	15	-1	0	0
16	0	66	627	110	400	8500	-1500	0	0	0	0	-1000	0	1	300	0	0	16	16	-1	0	0
17	0	67	627	110	400	8500	-1500	0	0	0	0	-300	0	5	215	0	0	17	17	-1	0	0
18	0	68	1489	112	400	8500	200	0	0	0	-500	0	0	1	210	0	0	18	18	-1	0	0
19	1	73	3135	165	1500	8500	-100	0	0	0	-5000	0	0	1	218	234	750	19	19	-1	0	0
20	0	67	652	114	400	8500	-1500	0	0	0	0	-300	0	5	215	0	0	20	20	-1	0	0
21	0	68	652	114	400	8500	-1500	0	0	0	0	0	0	1	210	0	0	21	21	-1	0	0
22	0	69	652	114	400	8500	-1500	0	0	0	-1000	0	0	1	211	0	0	22	22	-1	0	0
23	1	69	2063	182	1500	8500	-100	0	0	0	-4500	0	0	1	211	0	0	23	23	-1	0	0
24	1	70	2478	146	1500	8500	-100	0	0	0	-4500	0	0	1	211	234	750	24	24	-1	0	0
25	0	67	684	120	400	8500	-1500	0	0	0	0	-300	0	5	215	0	0	25	25	-1	0	0
26	0	68	684	120	400	8500	-1500	0	0	0	0	0	0	1	210	0	0	26	26	-1	0	0
27	0	69	684	120	400	8500	-1500	0	0	0	-1000	0	0	1	211	0	0	27	27	-1	0	0
28	0	70	1625	122	400	8500	-100	0	0	0	-4000	0	0	1	211	0	0	28	28	-1	0	0
29	1	75	3420	180	1500	9000	100	1500	0	0	-3000	0	0	2	222	252	800	29	29	-1	0	0
30	0	63	741	130	400	8500	-1500	0	0	0	0	-300	0	1	301	0	0	30	30	-1	0	0
31	0	64	741	130	400	8500	-1500	0	0	0	0	-300	0	1	301	0	0	31	31	-1	0	0
32	0	67	741	130	400	8500	-1500	0	0	0	0	-300	0	5	215	0	0	32	32	-1	0	0
33	1	67	1877	250	1500	8500	0	0	0	0	0	-2500	0	5	215	0	0	33	33	-1	0	0
34	1	68	1877	250	1500	8500	200	0	0	0	-1000	0	0	1	210	270	850	34	34	-1	0	0
35	0	63	771	135	400	8500	-1500	0	0	0	0	-300	0	1	301	0	0	35	35	-1	0	0
36	0	64	771	135	400	8500	-1500	0	0	0	0	-300	0	1	301	0	0	36	36	-1	0	0
37	0	67	771	135	400	8500	-1500	0	0	0	0	-300	0	5	215	0	0	37	37	-1	0	0
38	0	68	1830	138	400	8500	200	0	0	0	-500	0	0	1	210	0	0	38	38	-1	0	0
39	1	77	3853	203	1500	8500	100	0	0	0	-4000	0	0	1	306	270	850	39	39	-1	0	0
40	0	64	798	140	400	8500	-1500	0	0	0	0	-300	0	1	301	0	0	40	40	-1	0	0
41	0	69	798	140	400	8500	-1500	0	0	0	-1000	0	0	1	211	0	0	41	41	-1	0	0
42	0	70	798	140	400	8500	-1500	0	0	0	-1000	0	0	1	211	0	0	42	42	-1	0	0
43	1	69	2527	224	1500	8500	-100	0	0	0	-4500	0	0	1	211	0	0	43	43	-1	0	0
44	1	70	2527	224	1500	8500	-100	0	0	0	-4500	0	0	1	211	288	900	44	44	-1	0	0
45	0	63	830	146	400	8500	-1500	0	0	0	0	-300	0	1	301	0	0	45	45	-1	0	0
46	0	64	830	146	400	8500	-1500	0	0	0	0	-300	0	1	301	0	0	46	46	-1	0	0
47	0	69	830	146	400	8500	-1500	0	0	0	-1000	0	0	1	211	0	0	47	47	-1	0	0
48	0	70	1971	149	400	8500	-100	0	0	0	-4000	0	0	1	211	0	0	48	48	-1	0	0
49	1	79	4150	218	1500	8500	100	0	0	0	-4000	0	0	1	306	288	900	49	49	-1	0	0
50	0	65	862	151	400	8500	-1500	0	0	0	-1000	0	0	1	218	0	0	50	50	-1	0	0
51	0	66	862	151	400	8500	-1500	0	0	0	0	-1000	0	1	300	0	0	51	51	-1	0	0
52	0	68	862	151	400	8500	-1500	0	0	0	0	0	0	1	210	0	0	52	52	-1	0	0
53	1	66	2729	242	1500	8500	-100	0	0	0	0	-4500	0	1	300	0	0	53	53	-1	0	0
54	1	67	3275	194	1500	8500	0	0	0	0	0	-2500	0	5	215	288	900	54	54	-1	0	0
55	0	67	912	160	400	8500	-1500	0	0	0	0	-300	0	5	215	0	0	55	55	-1	0	0
