##玩家升级表						
##[SC]玩家等级	[SC]升级所需经验	[SC]体力上限	[SC]携带卡牌上限	[SC]领导力上限	[SC]好友上限	[SC]增加体力
##index(0)						
int	int	int	int	int	int	int
0	0	0	0	0	0	0
1	100	120	20	25	20	1
2	178	120	21	26	20	1
3	208	120	21	27	21	1
4	256	120	22	28	21	1
5	288	120	22	29	21	1
6	455	120	23	30	22	2
7	593	120	23	31	22	2
8	639	120	24	32	22	2
9	675	120	24	33	23	2
10	1022	120	25	34	23	3
11	1076	120	25	35	23	4
12	1131	120	26	36	24	6
13	1184	120	26	37	24	8
14	1649	120	27	38	24	12
15	1728	120	27	39	25	19
16	1796	120	28	40	25	20
17	2337	120	28	41	25	22
18	2426	120	29	42	26	26
19	3021	120	29	43	26	30
20	3128	120	30	44	26	30
21	3776	120	30	45	27	34
22	3903	120	31	46	27	34
23	4431	120	31	47	27	34
24	4722	120	32	48	28	34
25	5355	120	32	49	28	35
26	6459	120	33	50	28	36
27	6925	120	33	51	29	37
28	8231	120	34	52	29	38
29	8809	120	34	53	29	39
30	9717	120	35	54	30	40
31	10953	120	35	55	30	41
32	11585	120	36	56	30	42
33	12849	120	36	57	31	43
34	13869	120	37	58	31	44
35	15028	120	37	59	31	45
36	16387	120	38	60	32	46
37	17214	120	38	61	32	47
38	18749	120	39	62	32	48
39	20530	120	39	63	33	49
40	22359	120	40	64	33	50
41	24120	120	40	65	33	51
42	25786	120	41	66	34	52
43	27847	120	41	67	34	53
44	29681	120	42	68	34	54
45	32190	120	42	69	35	55
46	33494	120	43	70	35	56
47	36460	120	43	71	35	57
48	37653	120	44	72	36	58
49	40747	120	44	73	36	59
50	42466	120	45	74	36	60
51	45548	120	45	75	37	61
52	47134	120	46	76	37	62
53	50301	120	46	77	37	63
54	52287	120	47	78	38	64
55	55057	120	47	79	38	65
56	57516	120	48	80	38	66
57	60603	120	48	81	39	67
58	62343	120	49	82	39	68
59	66265	120	49	83	39	69
60	68169	120	50	85	40	70
61	72146	120	50	87	40	71
62	74061	120	50	89	40	72
63	77723	120	50	91	41	73
64	79839	120	50	93	41	74
65	84199	120	50	95	41	75
66	86446	120	50	97	42	76
67	90150	120	50	99	42	77
68	92545	120	50	101	42	78
69	97094	120	50	103	43	79
70	99787	120	50	105	43	80
71	103629	120	50	107	43	81
72	106307	120	50	109	44	82
73	110846	120	50	111	44	83
74	113426	120	50	113	44	84
75	118022	120	50	115	45	85
76	120876	120	50	117	45	86
77	124913	120	50	119	45	87
78	128379	120	50	121	46	88
79	133305	120	50	123	46	89
80	135882	120	50	125	46	90
81	141137	120	50	127	47	91
82	143923	120	50	129	47	92
83	149049	120	50	131	47	93
84	152455	120	50	133	48	94
85	157508	120	50	135	48	95
86	160473	120	50	137	48	96
87	166342	120	50	139	49	97
88	168814	120	50	141	49	98
89	175000	120	50	143	49	99
90	178079	120	50	145	50	100
91	183768	120	50	147	50	101
92	187091	120	50	149	50	102
93	192956	120	50	151	51	103
94	196175	120	50	153	51	104
95	202484	120	50	155	52	105
96	205840	120	50	157	52	106
97	211435	120	50	159	53	107
98	215772	120	50	161	53	108
99	221981	120	50	163	54	109
100	396276	120	50	165	55	110
101	652984	120	50	167	55	115
102	975476	120	50	169	55	120
103	991845	120	50	171	55	120
104	1321819	120	50	173	55	120
105	1341848	120	50	175	55	120
106	1681408	120	50	177	55	120
107	1703806	120	50	179	55	120
108	2051210	120	50	181	55	120
109	2076762	120	50	183	55	120
110	2433199	120	50	185	55	120
111	2462736	120	50	187	55	120
112	2826664	120	50	189	55	120
113	2859516	120	50	191	55	120
114	3232201	120	50	193	55	120
115	3267484	120	50	195	55	120
116	3650082	120	50	197	55	120
117	3687059	120	50	199	55	120
118	4079098	120	50	201	55	120
119	4118722	120	50	203	55	120
120	4519079	120	50	205	55	120
121	4562878	120	50	207	55	120
122	4970876	120	50	209	55	120
123	5018256	120	50	211	55	120
124	5434197	120	50	213	55	120
125	5485027	120	50	215	55	120
126	5909872	120	50	217	55	120
127	5962569	120	50	219	55	120
128	6396961	120	50	221	55	120
129	6453656	120	50	223	55	120
130	6895735	120	50	225	55	120
131	6955151	120	50	227	55	120
132	7405789	120	50	229	55	120
133	7468875	120	50	231	55	120
134	7927384	120	50	233	55	120
135	7994038	120	50	235	55	120
136	8461168	120	50	237	55	120
137	8530521	120	50	239	55	120
138	9007524	120	50	241	55	120
139	9078105	120	50	243	55	120
140	9564840	120	50	245	55	120
141	9638076	120	50	247	55	120
142	10133074	120	50	249	55	120
143	10210359	120	50	251	55	120
144	10713520	120	50	253	55	120
145	10794237	120	50	255	55	120
146	11305020	120	50	257	55	120
147	11389203	120	50	259	55	120
148	11908753	120	50	261	55	120
149	11996038	120	50	263	55	120
150	12523913	120	50	265	55	120
151	12614903	120	50	267	55	120
152	13150677	120	50	269	55	120
153	13244519	120	50	271	55	120
154	13789522	120	50	273	55	120
155	13887013	120	50	275	55	120
156	14439870	120	50	277	55	120
157	14539825	120	50	279	55	120
158	15102124	120	50	281	55	120
159	15203758	120	50	283	55	120
160	15776118	120	50	285	55	120
161	15881521	120	50	287	55	120
162	16461394	120	50	289	55	120
163	16568847	120	50	291	55	120
164	17158312	120	50	293	55	120
165	17270286	120	50	295	55	120
166	17866366	120	50	297	55	120
167	17981486	120	50	299	55	120
168	18587583	120	50	301	55	120
169	18705237	120	50	303	55	120
170	19318448	120	50	305	55	120
171	19440591	120	50	307	55	120
172	20062958	120	50	309	55	120
173	20186691	120	50	311	55	120
174	20817821	120	50	313	55	120
175	20944985	120	50	315	55	120
176	21584882	120	50	317	55	120
177	21715205	120	50	319	55	120
178	22363687	120	50	321	55	120
179	22497311	120	50	323	55	120
180	23154156	120	50	325	55	120
181	23289334	120	50	327	55	120
182	23956814	120	50	329	55	120
183	24094330	120	50	331	55	120
184	24770143	120	50	333	55	120
185	24912258	120	50	335	55	120
186	25594522	120	50	337	55	120
187	25740218	120	50	339	55	120
188	26432010	120	50	341	55	120
189	26580425	120	50	343	55	120
190	27279637	120	50	345	55	120
191	27432123	120	50	347	55	120
192	28141588	120	50	349	55	120
193	28294953	120	50	351	55	120
194	29012410	120	50	353	55	120
195	29169954	120	50	355	55	120
196	29897443	120	50	357	55	120
197	30056648	120	50	359	55	120
198	30791500	120	50	361	55	120
199	30955563	120	50	363	55	120
200	-1	120	50	365	55	120
