##任务表									
##[SC]任务ID	[C]任务名称	[C]条件1描述	[C]奖励图标	[C]品质框	[SC]前置任务ID	[SC]奖励类型	[SC]奖励参数	[S]条件1类型	[S]条件1参数
##index(0)									
int	string	string	string	string	int	int	int	int	int
0	42级奖励5★大使	等级提升至42级	littlecard_0247.png	littlecard_frame_class4.png	-1	3	247	3	42
1	升级奖励3★穆坦努斯	等级提升至3级	littlecard_0081.png	littlecard_frame_class2.png	-1	3	81	3	3
2	升级奖励10000金币	等级提升至5级	icon_bigcoin.png	littlecard_frame_class4.png	1	1	10000	3	5
3	升级奖励3★大囧龟	等级提升至8级	littlecard_0071.png	littlecard_frame_class2.png	2	3	71	3	8
4	升级奖励20000金币	等级提升至10级	icon_bigcoin.png	littlecard_frame_class4.png	3	1	20000	3	10
5	升级奖励40000金币	等级提升至15级	icon_bigcoin.png	littlecard_frame_class4.png	4	1	40000	3	15
6	升级奖励80000金币	等级提升至20级	icon_bigcoin.png	littlecard_frame_class4.png	5	1	80000	3	20
7	升级奖励4★船长曲奇	等级提升至25级	littlecard_0114.png	littlecard_frame_class3.png	6	3	114	3	25
8	升级奖励100000金币	等级提升至30级	icon_bigcoin.png	littlecard_frame_class4.png	7	1	100000	3	30
9	升级奖励125000金币	等级提升至35级	icon_bigcoin.png	littlecard_frame_class4.png	8	1	125000	3	35
10	升级奖励150000金币	等级提升至40级	icon_bigcoin.png	littlecard_frame_class4.png	9	1	150000	3	40
11	升级奖励175000金币	等级提升至45级	icon_bigcoin.png	littlecard_frame_class4.png	10	1	175000	3	45
12	升级奖励200000金币	等级提升至50级	icon_bigcoin.png	littlecard_frame_class4.png	11	1	200000	3	50
13	升级奖励225000金币	等级提升至55级	icon_bigcoin.png	littlecard_frame_class4.png	12	1	225000	3	55
14	升级奖励250000金币	等级提升至60级	icon_bigcoin.png	littlecard_frame_class4.png	13	1	250000	3	60
15	升级奖励275000金币	等级提升至65级	icon_bigcoin.png	littlecard_frame_class4.png	14	1	275000	3	65
16	升级奖励300000金币	等级提升至70级	icon_bigcoin.png	littlecard_frame_class4.png	15	1	300000	3	70
17	升级奖励325000金币	等级提升至75级	icon_bigcoin.png	littlecard_frame_class4.png	16	1	325000	3	75
18	升级奖励350000金币	等级提升至80级	icon_bigcoin.png	littlecard_frame_class4.png	17	1	350000	3	80
19	升级奖励375000金币	等级提升至85级	icon_bigcoin.png	littlecard_frame_class4.png	18	1	375000	3	85
20	升级奖励400000金币	等级提升至90级	icon_bigcoin.png	littlecard_frame_class4.png	19	1	400000	3	90
21	升级奖励425000金币	等级提升至95级	icon_bigcoin.png	littlecard_frame_class4.png	20	1	425000	3	95
22	升级奖励450000金币	等级提升至100级	icon_bigcoin.png	littlecard_frame_class4.png	21	1	450000	3	100
23	首次充值奖励5★南瓜瓜	购买50符石	littlecard_0309.png	littlecard_frame_class4.png	-1	3	309	1	50
24	充值奖励3★沐丝	购买300符石	littlecard_0025.png	littlecard_frame_class2.png	23	3	25	1	300
25	充值奖励3★方砖	购买500符石	littlecard_0045.png	littlecard_frame_class2.png	24	3	45	1	500
26	充值奖励4★大小姐	购买1000符石	littlecard_0038.png	littlecard_frame_class3.png	25	3	38	1	1000
27	充值奖励300符石	购买2000符石	icon_diamond1.png	littlecard_frame_class5.png	26	0	300	1	2000
28	充值奖励1000符石	购买5000符石	icon_diamond1.png	littlecard_frame_class5.png	27	0	1000	1	5000
29	充值奖励1500符石	购买8000符石	icon_diamond1.png	littlecard_frame_class5.png	28	0	1500	1	8000
30	充值奖励5★瑞文戴尔	购买9999符石	littlecard_0274.png	littlecard_frame_class4.png	29	3	274	1	9999
31	首次副本通关奖励50符石	通关哀嚎	icon_diamond1.png	littlecard_frame_class5.png	-1	0	50	6	0
32	普通副本通关奖励50符石	通关死矿	icon_diamond1.png	littlecard_frame_class5.png	31	0	50	6	10
33	普通副本通关奖励50符石	通关银牙	icon_diamond1.png	littlecard_frame_class5.png	32	0	50	6	20
34	普通副本通关奖励50符石	通关沼泽	icon_diamond1.png	littlecard_frame_class5.png	33	0	50	6	30
35	普通副本通关奖励50符石	通关血色	icon_diamond1.png	littlecard_frame_class5.png	34	0	50	6	40
36	普通副本通关奖励50符石	通关高地	icon_diamond1.png	littlecard_frame_class5.png	35	0	50	6	50
37	普通副本通关奖励50符石	通关奥忒曼	icon_diamond1.png	littlecard_frame_class5.png	36	0	50	6	60
38	普通副本通关奖励50符石	通关祖尔	icon_diamond1.png	littlecard_frame_class5.png	37	0	50	6	70
